timestamp,latitude,longitude,location,accuracy,altitude_accuracy,heading,speed,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,device_model,device_brand,device_os,device_os_version
2025-02-09 19:18:55,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.1109,0.4794,0.8996,0.0952,-0.4979,-0.8878,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:18:56,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.1947,0.1467,-0.1146,0.0952,-0.4979,-0.8878,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:18:57,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.1947,0.1467,-0.1146,0.1771,-0.298,-0.9274,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:18:58,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.0771,0.0517,-0.2741,0.1771,-0.298,-0.9274,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:18:59,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.0771,0.0517,-0.2741,0.0029,-0.2518,-0.9326,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:00,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.2267,-0.458,-1.0489,0.0029,-0.2518,-0.9326,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:01,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.2267,-0.458,-1.0489,-0.0044,-0.4842,-0.897,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:02,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,1.008,-0.8872,-1.3632,-0.0044,-0.4842,-0.897,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:03,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,1.008,-0.8872,-1.3632,0.1548,-0.9781,-0.4978,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:04,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,1.2959,0.0565,1.771,0.1548,-0.9781,-0.4978,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:05,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,1.2959,0.0565,1.771,-0.2522,0.2551,1.1433,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:06,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.3437,-0.3854,0.2423,-0.2522,0.2551,1.1433,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:07,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.3437,-0.3854,0.2423,0.1794,-0.3878,-0.7096,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:08,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,0.0148,0.5363,0.3067,0.1794,-0.3878,-0.7096,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:09,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,0.0148,0.5363,0.3067,-0.7506,-0.6973,0.0136,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:10,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.4798,0.3401,0.5057,-0.7506,-0.6973,0.0136,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:11,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.4798,0.3401,0.5057,-0.896,-0.537,-0.5027,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:12,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.7726,-0.7707,-0.8279,-0.896,-0.537,-0.5027,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:13,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.7726,-0.7707,-0.8279,-0.6429,-0.383,-0.7561,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:14,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,1.5186,-1.964,2.3659,-0.6429,-0.383,-0.7561,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:15,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,1.5186,-1.964,2.3659,-0.2525,-0.8743,0.0495,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:16,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.0632,-0.005,-0.2911,-0.2525,-0.8743,0.0495,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:17,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.0632,-0.005,-0.2911,-0.1811,-0.7267,0.3308,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:18,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.8689,0.326,0.7866,-0.1811,-0.7267,0.3308,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:19,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.8689,0.326,0.7866,-0.9249,-0.2703,-1.0223,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:20,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.0957,-1.6494,-1.5113,-0.9249,-0.2703,-1.0223,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:21,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.0957,-1.6494,-1.5113,0.0459,-0.0571,-0.9296,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:22,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,0.1615,-0.2587,0.018,0.0459,-0.0571,-0.9296,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:23,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,0.1615,-0.2587,0.018,0.017,-0.3477,-0.9272,iPhone 11,Apple,iOS,18.1.1
2025-02-09 19:19:24,43.6901,-79.3015,"Toronto, ON M4C 4Y7 Canada",19.8314,30,-1,-1,-0.0242,-0.0062,-0.0175,0.017,-0.3477,-0.9272,iPhone 11,Apple,iOS,18.1.1
